RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
614876,201615198,1313,0,ASSLT-NONAGG,1300,ASSAULT,1/13/2016 19:53,1/13/2016 19:53,,120XX BLOCK OF AURORA AV N,N,N2,402.2007,-122.3448944,47.71717453,"(47.71717453, -122.344894409)",1,2016
644950,201615173,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/13/2016 19:35,1/13/2016 19:35,,83XX BLOCK OF 11 AV NW,J,J2,3000.1004,-122.3703995,47.68968964,"(47.689689636, -122.370399475)",1,2016
626611,201615173,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/13/2016 19:35,1/13/2016 19:35,,83XX BLOCK OF 11 AV NW,J,J2,3000.1004,-122.3703995,47.68968964,"(47.689689636, -122.370399475)",1,2016
616455,201615160,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 19:25,1/13/2016 19:25,,117XX BLOCK OF PINEHURST WY NE,L,L1,700.4007,-122.3120575,47.71512604,"(47.715126038, -122.312057495)",1,2016
618743,201615154,1201,2,ROBBERY-BUSINESS-GUN,1200,ROBBERY,1/13/2016 19:16,1/13/2016 19:16,,XX BLOCK OF UNION ST,M,M1,8100.1001,-122.3393326,47.60773087,"(47.607730865, -122.339332581)",1,2016
622764,201615149,3542,1,NARC-POSSESS-METH,3500,NARCOTICS,1/13/2016 19:10,1/13/2016 19:10,,105XX BLOCK OF AURORA AV N,N,N3,1300.2001,-122.3447037,47.7057991,"(47.705799103, -122.344703674)",1,2016
616523,201615153,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,1/13/2016 19:10,1/11/2016 12:00,,10XX BLOCK OF NE 125 ST,L,L1,200.5007,-122.3169403,47.71944046,"(47.71944046, -122.316940308)",1,2016
616173,201615145,X,21,DISTURBANCE-OTH,X,DISTURBANCE,1/13/2016 19:02,1/13/2016 19:02,,10XX BLOCK OF S JACKSON ST,G,G1,9100.1004,-122.318428,47.59918594,"(47.599185944, -122.31842804)",1,2016
615172,201614884,1313,2,ASSLT-NONAGG-POLICE,1300,ASSAULT,1/13/2016 19:00,1/13/2016 19:00,,9XX BLOCK OF NW LEARY WY,B,B2,4700.2059,-122.370491,47.66365814,"(47.663658142, -122.370491028)",1,2016
641773,201614884,1313,2,ASSLT-NONAGG-POLICE,1300,ASSAULT,1/13/2016 19:00,1/13/2016 19:00,,9XX BLOCK OF NW LEARY WY,B,B2,4700.2059,-122.370491,47.66365814,"(47.663658142, -122.370491028)",1,2016
618551,2016900305,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,1/13/2016 18:47,1/13/2016 16:30,1/13/2016 17:40,14XX BLOCK OF NW LEARY WY,B,B1,4700.2042,-122.374855,47.66366196,"(47.663661957, -122.374855042)",1,2016
617373,201615123,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,1/13/2016 18:32,1/13/2016 7:30,1/13/2016 18:20,80XX BLOCK OF 9 AV NW,J,J2,3000.1006,-122.3683319,47.68783569,"(47.687835693, -122.368331909)",1,2016
639485,201615123,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,1/13/2016 18:32,1/13/2016 7:30,1/13/2016 18:20,80XX BLOCK OF 9 AV NW,J,J2,3000.1006,-122.3683319,47.68783569,"(47.687835693, -122.368331909)",1,2016
616979,2016900312,2999,0,PROPERTY DAMAGE - GRAFFITI,2900,PROPERTY DAMAGE,1/13/2016 18:29,1/13/2016 11:30,1/13/2016 11:35,N 97 ST / DENSMORE AV N,N,N3,1300.1023,-122.3376465,47.69959641,"(47.699596405, -122.337646484)",1,2016
614311,201614943,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/13/2016 18:17,1/13/2016 18:17,,20XX BLOCK OF 17 AV S,R,R1,9400.301,-122.3107681,47.5850296,"(47.585029602, -122.310768127)",1,2016
616749,201615098,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 18:13,1/13/2016 18:13,,BELVIDERE AV SW / SW GRAYSON ST,W,W1,9600.101,-122.3791428,47.58182526,"(47.581825256, -122.379142761)",1,2016
616743,201615034,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 18:03,1/13/2016 17:00,,45XX BLOCK OF 48 AV SW,W,W2,9702.3011,-122.3934784,47.56206513,"(47.562065125, -122.393478394)",1,2016
615377,201615084,5707,0,TRESPASS,5700,TRESPASS,1/13/2016 17:59,1/13/2016 17:59,,19XX BLOCK OF 4 AV S,O,O1,9300.3013,-122.3290558,47.58507538,"(47.585075378, -122.329055786)",1,2016
613645,201614938,X,69,VEH-RCVD-FOR OTHER AGENCY,X,VEHICLE THEFT,1/13/2016 17:58,1/13/2016 17:58,,114XX BLOCK OF 70 PL S,S,S3,11900.2022,-122.2469635,47.50074005,"(47.500740051, -122.246963501)",1,2016
618578,201615069,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 17:48,1/13/2016 17:48,,10XX BLOCK OF 2 AV,K,K1,8100.1027,-122.3354568,47.60551453,"(47.605514526, -122.335456848)",1,2016
641776,201614735,5015,1,WARRARR-FELONY,5000,WARRANT ARREST,1/13/2016 17:30,1/13/2016 17:30,,32XX BLOCK OF NW 54 ST,B,B1,3200.4019,-122.3989792,47.66747284,"(47.667472839, -122.398979187)",1,2016
614712,201615046,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 17:25,1/13/2016 17:25,,77XX BLOCK OF 25 AV NW,J,J2,3100.1017,-122.38871,47.68587875,"(47.685878754, -122.388710022)",1,2016
615213,201614998,5707,0,TRESPASS,5700,TRESPASS,1/13/2016 16:49,1/12/2016 0:01,,67XX BLOCK OF FLORA AV S,O,O3,10900.1008,-122.3205261,47.54258728,"(47.54258728, -122.320526123)",1,2016
617501,201614916,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,1/13/2016 16:47,1/13/2016 15:53,,47XX BLOCK OF 11 AV NE,U,U2,5301.2004,-122.3163452,47.66402054,"(47.664020538, -122.316345215)",1,2016
617500,201614783,5707,0,TRESPASS,5700,TRESPASS,1/13/2016 16:38,1/13/2016 14:13,,22XX BLOCK OF WESTLAKE AV,D,D2,7300.302,-122.3384399,47.61824417,"(47.618244171, -122.338439941)",1,2016
614101,201614713,2316,0,THEFT-MAIL,2300,MAIL THEFT,1/13/2016 16:34,1/12/2016 15:00,1/13/2016 10:00,90XX BLOCK OF 35 AV SW,F,F2,11500.2025,-122.3767319,47.52196503,"(47.521965027, -122.376731873)",1,2016
616850,201614982,1204,0,ROBBERY-STREET-GUN,1200,ROBBERY,1/13/2016 16:30,1/13/2016 16:30,,RAINIER AV S / S HANFORD ST,R,R2,9500.4026,-122.2955704,47.57496643,"(47.574966431, -122.295570374)",1,2016
616522,201614979,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 16:28,1/13/2016 16:27,,132XX BLOCK OF AURORA AV N,N,N2,600.1016,-122.3449936,47.72503662,"(47.725036621, -122.344993591)",1,2016
614917,2016900304,2903,0,PROPERTY DAMAGE-NON RESIDENTIA,2900,PROPERTY DAMAGE,1/13/2016 16:16,1/12/2016 16:10,1/12/2016 16:10,E YESLER WY / 14 AV,G,G2,9000.2006,-122.3141632,47.60168839,"(47.601688385, -122.314163208)",1,2016
615367,201614962,X,47,PROPERTY FOUND,X,STOLEN PROPERTY,1/13/2016 16:15,1/13/2016 16:15,,53XX BLOCK OF 8 AV NE,U,U1,4500.1002,-122.319519,47.66785812,"(47.667858124, -122.319519043)",1,2016
617234,201614946,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,1/13/2016 16:12,1/12/2016 7:30,,103XX BLOCK OF AURORA AV N,N,N3,1300.2008,-122.3446732,47.70342255,"(47.703422546, -122.344673157)",1,2016
615054,2016900303,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 16:10,1/9/2016 18:35,1/9/2016 19:30,8 AV N / VALLEY ST,D,D2,6700.202,-122.3410263,47.62625504,"(47.626255035, -122.341026306)",1,2016
645554,201614871,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 16:09,1/13/2016 15:00,,18XX BLOCK OF BOREN AV,D,D2,7300.202,-122.3320694,47.61655808,"(47.616558075, -122.332069397)",1,2016
628344,201614871,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 16:09,1/13/2016 15:00,,18XX BLOCK OF BOREN AV,D,D2,7300.202,-122.3320694,47.61655808,"(47.616558075, -122.332069397)",1,2016
614636,2016900302,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,1/13/2016 16:06,1/12/2016 19:00,1/13/2016 9:30,67XX BLOCK OF PHINNEY AV N,J,J3,3500.1013,-122.3543701,47.67827988,"(47.678279877, -122.354370117)",1,2016
614638,2016900301,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 15:53,1/12/2016 19:00,1/13/2016 9:30,67XX BLOCK OF PHINNEY AV N,J,J3,3500.1013,-122.3543701,47.67827988,"(47.678279877, -122.354370117)",1,2016
616452,201614921,2399,3,THEFT-OTH,2300,OTHER PROPERTY,1/13/2016 15:53,1/12/2016 18:50,,NE 45 ST / ROOSEVELT WY NE,U,U2,5301.2006,-122.3176422,47.66129684,"(47.661296844, -122.317642212)",1,2016
615120,2016900310,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 15:51,1/1/2016 1:00,1/1/2016 9:55,23XX BLOCK OF 2 AV N,Q,Q2,6800.1001,-122.3531418,47.63953018,"(47.639530182, -122.353141785)",1,2016
614966,201614544,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/13/2016 15:36,1/11/2016 11:00,1/11/2016 14:00,11XX BLOCK OF LAKE WASHINGTON BV S,G,G3,8900.1033,-122.2892227,47.59285736,"(47.592857361, -122.289222717)",1,2016
616742,201614894,2903,0,PROPERTY DAMAGE-NON RESIDENTIA,2900,PROPERTY DAMAGE,1/13/2016 15:33,1/12/2016 15:30,,60XX BLOCK OF LANHAM PL SW,F,F1,10702.2003,-122.3734894,47.54748154,"(47.547481537, -122.37348938)",1,2016
616988,201614883,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/13/2016 15:27,1/13/2016 15:27,,13XX BLOCK OF NE 42 ST,U,U2,5301.3008,-122.3137817,47.65832138,"(47.658321381, -122.313781738)",1,2016
618381,201614870,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,1/13/2016 15:18,1/13/2016 15:15,,23XX BLOCK OF 8 AV,D,D2,7200.2001,-122.3409348,47.61828613,"(47.618286133, -122.340934753)",1,2016
614651,201614867,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/13/2016 15:16,1/12/2016 18:00,1/13/2016 7:00,60XX BLOCK OF SYCAMORE AV NW,B,B2,3400.1015,-122.3584747,47.67329025,"(47.673290253, -122.358474731)",1,2016
639488,2016900300,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,1/13/2016 15:04,1/8/2016 14:45,1/10/2016 14:45,MONTLAKE BV E / E LAKE WASHINGTON BV,C,C2,6200.2011,-122.3041,47.64395905,"(47.643959045, -122.304100037)",1,2016
626711,201614855,1206,0,ROBBERY-STREET-BODYFORCE,1200,ROBBERY,1/13/2016 15:03,1/13/2016 14:55,,123XX BLOCK OF 28 AV NE,L,L1,700.1004,-122.2979202,47.71837616,"(47.71837616, -122.297920227)",1,2016
643425,201614853,2304,2,THEFT-LICENSE PLATE,2300,OTHER PROPERTY,1/13/2016 15:00,1/12/2016 23:00,1/13/2016 12:00,7XX BLOCK OF E ALOHA ST,C,C1,6500.2003,-122.3229523,47.62685013,"(47.626850128, -122.322952271)",1,2016
614722,2016900299,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 14:52,1/13/2016 13:10,1/13/2016 13:24,84XX BLOCK OF SEAVIEW PL NW,J,J1,3100.5006,-122.4018021,47.68924332,"(47.689243317, -122.401802063)",1,2016
615055,2016900298,2399,3,THEFT-OTH,2300,OTHER PROPERTY,1/13/2016 14:47,1/13/2016 11:15,1/13/2016 11:16,19XX BLOCK OF 1 AV W,Q,Q2,6800.2007,-122.3583069,47.63534927,"(47.635349274, -122.358306885)",1,2016
616171,201614725,X,21,DISTURBANCE-OTH,X,DISTURBANCE,1/13/2016 14:43,1/13/2016 13:40,,1XX BLOCK OF CEDAR ST,D,D1,8001.1007,-122.3501892,47.61613464,"(47.616134644, -122.350189209)",1,2016
641971,201614821,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,1/13/2016 14:32,1/13/2016 2:00,1/13/2016 10:00,36XX BLOCK OF 33 AV S,R,R2,10100.5017,-122.291008,47.57075882,"(47.57075882, -122.291007996)",1,2016
